====================================================================================================
ALL MACHINES - SYNCHRONIZING SEQUENCE DETECTION RESULTS
====================================================================================================

Total Execution Time: 502.31 seconds
Total Machines Generated: 900
Machines with SS: 890
Machines without SS: 10

====================================================================================================

Machine      States   Has SS     SS Length    Time (s)     Synchronizing Sequence
Machine644   60       YES        25           6.834374     0 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1
Machine645   60       YES        19           0.487693     1 1 1 1 1 1 0 0 1 0 1 0 1 1 0 0 0 0 1
Machine646   60       YES        19           0.315248     0 1 0 0 0 1 0 0 0 1 0 1 1 1 0 1 1 1 1
Machine647   60       YES        18           0.127491     0 0 0 0 0 0 1 1 0 0 1 1 1 1 1 1 1 1
Machine648   60       YES        19           0.843332     1 0 1 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0
Machine649   60       YES        21           0.641666     0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 1 1
Machine650   60       YES        22           1.248348     0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1
Machine651   60       YES        15           0.078518     1 0 0 0 1 0 0 0 1 0 0 0 1 0 1
Machine652   60       YES        19           0.254519     1 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 1 1
Machine653   60       YES        17           0.113517     0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 1 1
Machine654   60       YES        16           0.144516     0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0
Machine655   60       YES        19           0.322543     0 0 1 0 0 0 1 1 0 0 1 1 1 0 0 1 0 0 0
Machine656   60       YES        17           0.145087     1 1 1 0 0 0 1 0 1 0 0 0 1 1 0 1 0
Machine657   60       YES        19           0.265548     0 1 1 0 0 1 0 1 1 0 1 0 1 1 0 1 0 0 0
Machine658   60       YES        16           0.059008     0 1 1 0 1 0 1 0 0 1 1 1 0 1 0 0
Machine659   60       YES        20           0.370960     0 0 0 1 0 1 1 1 0 0 1 0 1 0 0 0 1 1 0 1
Machine660   60       YES        13           0.025009     1 0 1 0 1 1 1 1 0 1 0 1 1
Machine661   60       YES        17           0.078514     0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0
Machine662   60       YES        17           0.216714     1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Machine663   60       YES        19           0.485588     0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 1 0 1
Machine664   60       YES        12           0.010997     0 0 0 1 0 1 0 1 0 0 1 0
Machine665   60       YES        20           0.334553     0 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 1 0 1
Machine666   60       YES        21           0.705866     0 0 0 0 0 0 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0
Machine667   60       YES        13           0.011014     0 0 0 1 1 0 0 1 1 0 0 0 1
Machine668   60       YES        20           0.130539     0 0 0 1 0 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1
Machine669   60       YES        19           1.024947     1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0
Machine670   60       YES        19           0.215163     0 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 1
Machine671   60       YES        16           0.063572     0 0 0 0 1 0 1 1 0 0 1 1 0 1 1 0
Machine672   60       YES        21           0.824107     1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 0 0 0 1 0 0
Machine673   60       YES        19           0.765871     0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
Machine674   60       YES        21           1.025208     0 1 0 1 1 1 1 0 1 0 0 1 1 1 0 1 0 0 0 0 0
Machine675   60       YES        21           0.840949     0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 0
Machine676   60       YES        20           0.678692     0 1 1 0 0 0 1 1 1 1 0 0 1 0 0 0 1 1 1 1
Machine677   60       YES        16           0.148513     0 1 0 1 1 0 0 1 0 1 1 0 0 1 1 0
Machine678   60       YES        16           0.081782     1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1
Machine679   60       YES        21           0.658401     1 1 0 0 0 1 1 0 1 1 1 0 0 0 0 1 1 0 1 1 0
Machine680   60       YES        19           0.310663     1 1 1 1 0 1 0 0 0 0 1 1 0 1 0 1 1 0 1
Machine681   60       YES        23           1.901379     0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1
Machine682   60       YES        21           0.549114     0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0
Machine683   60       YES        22           1.359532     0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0
Machine684   60       YES        21           1.760242     0 1 1 0 1 1 1 0 1 1 1 0 0 1 0 1 0 0 0 1 1
Machine685   60       YES        24           10.201896    1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1
Machine686   60       YES        19           0.152081     0 0 1 0 1 1 1 0 1 0 1 0 1 0 1 1 0 1 1
Machine687   60       YES        20           2.120778     1 1 0 1 1 0 1 1 0 1 0 0 0 1 1 1 1 1 1 1
Machine688   60       YES        19           0.461702     0 0 0 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1
Machine689   60       YES        15           0.043997     1 0 1 0 1 0 1 0 1 0 1 0 0 0 0
Machine690   60       YES        23           4.720802     0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1
Machine691   60       YES        22           7.510428     0 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 0 0 1
Machine692   60       YES        18           0.111528     0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0
Machine693   60       YES        18           0.226530     1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0
Machine694   60       YES        18           0.380526     1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Machine695   60       YES        12           0.010007     0 0 0 1 0 1 0 1 0 1 0 1
Machine696   60       YES        21           1.469004     1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1
Machine697   60       YES        19           0.393227     0 1 1 1 1 1 0 0 0 1 0 1 1 0 1 0 1 0 1
Machine698   60       YES        22           2.284422     1 1 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 0 1 0 1 1
Machine699   60       YES        24           5.895137     0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0
Machine700   60       YES        18           0.097513     0 0 1 1 0 0 1 1 1 0 0 1 0 0 1 1 0 0
Machine701   60       YES        19           0.394773     1 1 1 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0
Machine702   60       YES        20           1.253079     1 0 1 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 1
Machine703   60       YES        17           0.148331     0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0
Machine704   60       YES        12           0.024997     1 1 0 0 0 1 1 1 1 1 1 1
Machine705   60       NO         N/A          N/A          N/A
Machine706   60       YES        18           0.098752     1 0 0 1 0 0 0 1 1 0 1 0 0 1 1 0 0 1
Machine707   60       YES        19           0.314445     0 1 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 1
Machine708   60       YES        17           0.150465     0 1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 1
Machine709   60       YES        17           0.249123     0 1 0 1 0 1 1 0 0 1 1 0 1 1 1 1 0
Machine710   60       YES        21           0.808053     1 0 1 0 1 0 0 1 0 1 1 1 1 0 0 1 0 1 0 1 1
Machine711   60       YES        21           1.023937     1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0
Machine712   60       YES        20           1.452644     0 1 0 1 0 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0
Machine713   60       YES        19           0.680829     1 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0
Machine714   60       YES        20           0.425451     0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0
Machine715   60       YES        18           0.276581     1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0
Machine716   60       YES        19           1.474446     1 1 1 0 1 0 0 0 0 0 1 0 1 1 1 1 0 1 0
Machine717   60       YES        21           0.532838     1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0
Machine718   60       YES        21           0.566965     0 1 1 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 1 0 0
Machine719   60       YES        17           0.086378     0 0 0 0 1 1 1 1 0 0 1 1 0 1 1 1 0
Machine720   60       YES        21           0.590184     0 1 1 0 1 1 1 1 1 0 1 0 0 1 0 1 0 1 1 0 1
Machine721   60       YES        21           2.350996     0 0 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 0 1 1
Machine722   60       YES        20           0.776265     1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0
Machine723   60       YES        21           1.298780     0 0 0 0 1 1 0 0 1 1 0 1 0 0 1 0 1 1 0 0 0
Machine724   60       YES        13           0.039538     1 0 1 1 0 1 1 1 0 1 1 1 0
Machine725   60       YES        17           0.121516     0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0
Machine726   60       YES        16           0.053356     0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0
Machine727   60       YES        16           0.135727     0 1 0 1 1 0 1 1 0 0 0 1 0 1 1 0
Machine728   60       YES        20           0.511296     0 0 1 1 0 1 0 0 1 0 1 1 0 1 1 0 1 0 0 1
Machine729   60       YES        22           3.332326     1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 0
Machine730   60       YES        21           2.692587     0 0 1 0 0 1 1 1 1 1 0 0 0 0 1 1 1 1 1 0 0
Machine731   60       YES        19           0.318558     0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 1 0 0
Machine732   60       YES        20           0.535077     0 1 1 0 0 0 1 1 1 0 1 1 0 0 0 1 0 0 1 1
Machine733   60       YES        20           0.495384     0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0
Machine734   60       YES        22           1.116024     0 1 1 0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 1 0 0 0
Machine735   60       YES        17           0.186597     0 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1
Machine736   60       YES        21           0.784386     0 0 0 1 1 0 1 1 0 1 1 1 1 0 0 1 0 0 0 1 1
Machine737   60       YES        18           0.334955     1 0 0 1 0 1 0 0 1 1 1 0 1 1 1 0 1 0
Machine738   60       YES        15           0.054522     0 1 1 1 1 1 1 0 0 0 1 0 1 1 1
Machine739   60       YES        20           0.790004     0 0 0 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0 0 1
Machine740   60       YES        17           0.121102     0 1 0 0 0 1 0 1 1 1 0 1 1 1 0 1 1
Machine741   60       YES        14           0.033010     0 0 0 1 1 1 0 0 0 1 0 0 1 0
Machine742   60       YES        21           0.993678     0 1 1 1 1 0 1 1 1 0 1 0 0 1 0 1 0 0 1 1 1
Machine743   60       YES        13           0.017999     1 1 0 0 0 0 0 0 0 1 1 0 0
Machine744   60       YES        14           0.044405     0 0 0 0 1 1 1 1 1 1 1 1 0 0
Machine745   60       YES        19           0.387115     0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 1 0 0 1
Machine746   60       YES        26           9.641815     0 1 0 1 1 1 1 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1
Machine747   60       YES        20           0.469922     1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1
Machine748   60       YES        22           1.500916     1 0 0 1 0 1 0 0 1 0 0 1 0 1 1 1 0 1 1 0 1 1
Machine749   60       YES        16           0.071007     0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 1
Machine750   60       YES        13           0.032800     0 0 1 0 1 0 0 1 0 1 0 0 1
Machine751   60       YES        18           0.175039     0 0 0 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0
Machine752   60       YES        23           2.062585     0 0 1 0 1 1 0 0 1 0 1 1 1 1 0 0 1 1 0 1 0 0 0
Machine753   60       YES        16           0.122517     1 0 0 1 1 1 1 0 1 1 0 1 1 1 0 1
Machine754   60       YES        19           0.821363     1 1 1 0 1 0 1 0 0 0 1 1 0 1 1 1 0 0 0
Machine755   60       YES        25           14.629293    1 0 1 0 1 1 0 1 1 1 0 0 1 0 1 1 1 1 0 1 0 1 0 0 0
Machine756   60       YES        23           4.735075     1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 0 1 1
Machine757   60       YES        17           0.105203     0 1 1 1 0 1 0 0 0 0 1 1 0 1 1 0 0
Machine758   60       YES        15           0.027014     1 1 0 0 0 0 0 1 1 1 0 1 0 1 1
Machine759   60       YES        17           0.030519     0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 1 1
Machine760   60       YES        22           3.722822     0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 1 1 1
Machine761   60       YES        20           0.307892     0 0 1 1 1 0 1 0 1 1 1 1 1 0 0 1 0 1 1 0
Machine762   60       YES        17           0.074564     1 0 0 0 1 0 1 1 1 0 0 1 1 0 0 1 1
Machine763   60       YES        19           0.139667     1 1 1 1 0 0 0 1 1 1 0 1 0 0 0 0 0 1 1
Machine764   60       YES        17           0.315308     0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0
Machine765   60       YES        15           0.088985     0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Machine766   60       YES        16           0.123845     1 0 0 1 0 1 0 1 1 1 1 0 1 1 1 1
Machine767   60       YES        21           0.206226     0 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0
Machine768   60       YES        20           0.663685     1 1 1 0 0 1 1 0 1 0 0 0 1 1 0 0 0 1 0 0
Machine769   60       YES        19           0.853734     1 1 1 1 1 1 1 0 0 1 1 0 0 0 1 1 0 1 1
Machine770   60       YES        19           0.313875     0 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 1 1 0
Machine771   60       YES        23           3.971415     0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0
Machine772   60       YES        17           0.212217     0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
Machine773   60       YES        15           0.093667     1 1 0 1 1 0 1 0 1 1 0 1 0 1 0
Machine774   60       YES        20           1.527427     0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
Machine775   60       YES        15           0.063486     0 1 0 0 0 1 1 1 0 0 1 0 0 0 0
Machine776   60       YES        18           0.176564     0 0 0 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1
Machine777   60       YES        15           0.074008     0 1 1 0 0 0 1 1 0 1 0 0 1 1 0
Machine778   60       YES        19           0.505271     0 1 1 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0
Machine779   60       YES        19           0.646418     0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
Machine780   60       YES        20           0.179605     0 0 0 0 0 1 0 1 1 0 1 1 1 0 0 0 1 1 1 0
Machine781   60       YES        18           0.237828     1 1 0 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1
Machine782   60       YES        20           1.499944     0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0
Machine783   60       YES        16           0.132330     0 1 1 1 1 1 0 0 1 0 1 1 0 1 1 0
Machine784   60       YES        20           2.704458     0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0
Machine785   60       YES        21           0.408966     0 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0 1 1
Machine786   60       YES        22           1.646259     0 0 0 1 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 1 0 1
Machine787   60       YES        25           8.639568     0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 1 1 0 1
Machine788   60       YES        15           0.100018     1 1 1 1 1 1 1 1 1 1 1 0 0 1 1
Machine789   60       YES        20           1.423590     0 1 1 0 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 0
Machine790   60       YES        18           0.062508     0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Machine791   60       YES        17           0.233793     1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0
Machine792   60       YES        15           0.046892     0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
Machine793   60       YES        14           0.036211     0 0 1 1 1 1 1 1 1 1 1 1 1 1
Machine794   60       YES        15           0.091533     0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Machine795   60       YES        20           0.374237     1 0 0 1 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0
Machine796   60       YES        19           0.226636     0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
Machine797   60       YES        21           2.002351     1 1 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0
Machine798   60       YES        24           30.810698    0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Machine799   60       YES        17           0.102520     1 0 1 1 1 0 1 0 0 0 1 1 0 1 1 0 0
Machine800   60       YES        15           0.075526     1 0 1 0 1 0 1 1 1 0 0 1 1 0 1
Machine801   60       YES        13           0.014999     0 0 1 0 0 0 0 1 0 0 0 0 0
Machine802   60       YES        21           0.604191     1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0
Machine803   60       YES        17           0.168566     1 1 1 1 1 1 0 0 1 1 0 1 1 0 1 1 0
Machine804   60       YES        24           2.108098     0 1 1 0 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 0 1 1 0
Machine805   60       YES        23           1.950695     1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1
Machine806   60       YES        17           0.158031     0 1 0 0 1 0 0 1 0 0 1 0 1 0 1 1 1
Machine807   60       YES        15           0.055981     0 0 0 0 1 1 1 1 1 0 0 0 1 0 0
Machine808   60       YES        20           2.258366     0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
Machine809   60       YES        18           0.157390     0 1 1 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0
Machine810   60       YES        24           8.624337     0 1 0 0 0 1 1 1 0 1 1 1 1 0 1 0 1 0 1 0 1 1 1 0
Machine811   60       YES        18           0.198499     1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0
Machine812   60       YES        19           0.172467     0 0 1 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 1
Machine813   60       YES        15           0.107616     0 0 0 1 1 1 1 1 1 1 1 1 1 1 1
Machine814   60       YES        16           0.046301     0 0 1 0 1 1 1 0 0 1 0 0 1 0 0 1
Machine815   60       YES        14           0.036998     0 1 1 1 0 1 1 0 1 0 1 0 1 0
Machine816   60       YES        20           0.483639     0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 1 1 0 1
Machine817   60       YES        19           0.866176     0 1 0 1 1 0 0 1 0 1 0 1 0 1 0 0 1 0 1
Machine818   60       YES        22           1.589432     0 0 0 0 0 1 1 1 0 1 0 0 1 1 0 1 0 0 1 0 0 1
Machine819   60       YES        18           0.366410     0 1 0 0 1 1 0 0 1 0 0 1 0 0 1 1 0 0
Machine820   60       YES        17           0.200330     1 0 1 0 1 0 1 1 1 0 1 0 1 0 0 0 1
Machine821   60       YES        22           0.874602     1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 1 0
Machine822   60       YES        19           0.254628     0 1 0 1 0 0 1 1 1 1 1 1 1 0 0 0 1 0 0
Machine823   60       YES        22           0.851741     0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1
Machine824   60       YES        14           0.046329     1 1 1 0 1 1 0 1 1 1 1 1 1 1
Machine825   60       YES        19           0.522398     0 1 0 0 1 0 1 1 1 0 1 0 0 0 0 1 1 0 1
Machine826   60       YES        13           0.010010     1 1 1 0 1 0 0 1 0 1 1 1 1
Machine827   60       YES        18           0.218567     1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1
Machine828   60       YES        17           0.198244     1 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1
Machine829   60       YES        22           1.450768     1 0 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 1
Machine830   60       YES        22           2.132603     0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 1 0 0 0
Machine831   60       YES        19           0.242874     0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 1 0 1
Machine832   60       YES        21           0.507521     0 0 1 0 1 1 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1
Machine833   60       YES        20           0.883281     0 1 0 1 1 1 1 1 1 0 0 0 1 0 0 1 1 1 0 0
Machine834   60       YES        21           0.629188     0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0 1 0 1 1 1
Machine835   60       YES        18           0.543232     1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
Machine836   60       YES        21           0.429576     0 1 1 0 0 0 1 0 0 1 1 0 0 1 0 0 1 1 1 1 0
Machine837   60       YES        21           2.289026     0 1 0 1 1 1 1 1 1 0 0 0 1 1 0 1 1 0 1 0 1
Machine838   60       YES        16           0.077961     0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1
Machine839   60       YES        26           29.602999    0 0 1 1 0 1 0 0 0 1 0 1 0 0 1 1 1 0 1 0 1 0 1 0 0 0
Machine840   60       YES        20           0.586948     0 0 1 0 0 1 0 1 1 1 0 1 0 1 1 1 0 1 1 0
Machine841   60       YES        19           0.361058     1 0 1 0 0 1 1 1 0 0 1 1 1 1 1 1 0 0 1
Machine842   60       YES        20           0.764683     0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0
Machine843   60       YES        18           0.162757     0 0 1 1 0 1 0 0 1 0 0 1 0 1 1 1 1 0
Machine844   60       YES        20           0.526494     1 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 1 1 0 1
Machine845   60       YES        14           0.040759     0 0 1 0 0 0 1 1 1 1 1 1 1 1
Machine846   60       YES        23           9.981021     1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1
Machine847   60       YES        20           1.069618     0 0 1 1 1 1 1 0 0 0 1 0 0 1 0 1 1 1 1 1
Machine848   60       YES        16           0.089603     0 1 0 1 0 0 1 0 1 1 1 0 1 0 0 0
Machine849   60       YES        17           0.147064     1 0 0 0 1 1 0 0 0 1 1 0 0 0 1 1 0
Machine850   60       YES        18           0.207110     0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0
Machine851   60       YES        22           0.977612     0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 1 0 0
Machine852   60       YES        19           0.232063     0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1
Machine853   60       YES        19           0.687279     0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0
Machine854   60       YES        19           0.349278     1 0 0 1 1 0 1 0 0 1 0 1 0 0 1 0 0 1 1
Machine855   60       YES        18           0.104026     0 0 0 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1
Machine856   60       YES        16           0.043088     0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1
Machine857   60       YES        18           0.364074     0 1 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0
Machine858   60       YES        13           0.018017     0 0 0 0 0 0 0 0 0 0 0 0 0
Machine859   60       YES        21           1.289854     1 1 1 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0
Machine860   60       YES        19           0.451040     1 1 0 0 0 1 1 1 1 1 1 0 0 1 0 0 1 1 0
Machine861   60       YES        12           0.017144     0 0 1 0 1 0 1 0 1 1 0 0
Machine862   60       YES        18           0.166398     0 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0
Machine863   60       YES        20           0.528968     1 1 1 1 0 0 1 0 0 1 1 0 0 1 1 0 1 0 1 0
Machine864   60       YES        20           0.463153     0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0
Machine865   60       YES        16           0.132986     0 1 1 1 0 0 0 1 0 0 1 0 0 1 0 0
Machine866   60       YES        21           1.866823     0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0
Machine867   60       YES        18           0.141548     0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0
Machine868   60       YES        16           0.067994     0 0 1 1 1 0 0 1 1 0 0 1 1 0 1 0
Machine869   60       YES        15           0.043302     0 1 1 1 1 0 1 1 1 0 0 1 0 1 0
Machine870   60       YES        14           0.023034     1 0 1 0 0 1 0 1 1 1 0 0 0 0
Machine871   60       YES        19           0.498231     0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0
Machine872   60       YES        14           0.041670     1 0 1 1 0 1 0 1 1 0 1 0 1 0
Machine873   60       YES        19           0.296244     0 0 1 1 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0
Machine874   60       YES        20           0.400166     0 0 0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 0 1 1
Machine875   60       YES        16           0.075361     1 0 0 0 1 0 1 1 0 0 1 1 0 1 1 0
Machine876   60       YES        22           1.027884     1 0 0 0 1 0 1 0 1 1 0 0 0 0 1 0 1 1 0 1 0 0
Machine877   60       YES        19           0.391798     1 0 0 0 1 1 0 1 0 0 0 1 1 0 1 1 0 0 0
Machine878   60       YES        16           0.120275     0 1 0 0 1 1 0 0 0 1 0 0 1 1 1 0
Machine879   60       YES        28           90.681165    1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 1 0 0 1 0 1 1 1 0 1 1 1
Machine880   60       YES        16           0.202832     1 1 1 1 1 0 1 0 1 1 0 1 1 0 1 1
Machine881   60       YES        19           0.840012     1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 1
Machine882   60       YES        16           0.155737     1 1 1 0 0 1 0 0 1 1 1 0 1 1 1 0
Machine883   60       YES        19           0.189278     0 1 0 1 0 1 1 1 0 1 1 1 1 0 1 0 1 1 0
Machine884   60       YES        16           0.079515     0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0
Machine885   60       YES        17           0.109989     0 1 0 1 1 1 1 0 0 1 1 0 1 1 0 1 1
Machine886   60       YES        15           0.020664     1 1 0 1 1 0 1 0 0 1 0 0 1 1 0
Machine887   60       YES        17           0.112226     0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0
Machine888   60       YES        17           0.069148     0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1
Machine889   60       YES        12           0.014599     0 1 0 0 0 0 0 0 0 0 0 0
Machine890   60       YES        21           0.410727     0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 1 1 1 1
Machine891   60       YES        18           0.461620     1 0 0 0 0 1 0 1 1 1 1 0 0 0 1 1 0 1
Machine892   60       YES        24           1.645078     0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0
Machine893   60       YES        19           0.089559     0 0 0 0 0 1 1 0 0 1 1 1 1 0 0 1 1 1 1
Machine894   60       YES        14           0.045068     0 1 1 1 0 0 0 0 0 1 0 0 0 0
Machine895   60       YES        22           2.087837     0 1 1 0 0 0 1 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0
Machine896   60       YES        19           0.508454     0 1 0 0 1 0 1 0 1 0 0 1 0 1 1 1 1 0 1
Machine897   60       YES        21           0.654541     0 0 1 1 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 1
Machine898   60       YES        18           0.179207     0 1 1 1 0 1 1 1 1 0 1 0 0 1 1 1 1 0
